request_id,customer,type,start_dt,end_dt
fc1baf49-2cf6-462f-9ba1-48dbbcda7a40,B,Write,2022-07-18 08:42:45.371468,2022-07-18 08:42:51.567156
8dbddf29-b1ef-4aea-abf8-2ac27bc441f1,B,Write,2022-07-18 08:27:39.223212,2022-07-18 08:27:43.919757
6904d727-9429-4fd1-b814-20d37806df75,D,Write,2022-07-18 08:38:29.110440,2022-07-18 08:38:31.177357
e2792374-aad4-4157-9284-8a7ac509ad95,E,Write,2022-07-18 09:01:07.807413,2022-07-18 09:01:09.994152
9ae42f18-53c3-46d6-b62d-89f28a866fcb,C,Write,2022-07-18 08:55:12.471202,2022-07-18 08:55:19.004268
875fd336-6c84-4de3-b2ef-deaa11485deb,C,Write,2022-07-18 09:00:25.531963,2022-07-18 09:00:27.087863
b6d39cc7-7cc0-4c9b-b087-beb3f98f7fc4,D,Write,2022-07-18 08:28:04.547410,2022-07-18 08:28:06.696745
796e7023-b1d1-4c3c-971c-f7b129d612a8,D,Write,2022-07-18 08:38:54.994466,2022-07-18 08:38:59.681696
24963b46-bdd3-4c3f-ac18-52e7600df19c,B,Write,2022-07-18 09:14:08.226799,2022-07-18 09:14:13.834258
89894753-2404-4211-94b3-36afc4423bdd,B,Write,2022-07-18 08:42:47.363831,2022-07-18 08:42:56.703105
34a078ae-aef9-45c6-9c75-331e5fbdfec1,C,Write,2022-07-18 09:14:42.629455,2022-07-18 09:14:48.524230
c76a6a0e-3da2-4d80-8412-6e0fa9dfe5b5,B,Write,2022-07-18 09:01:31.775586,2022-07-18 09:01:36.926797
dc46b1e4-3165-48cc-a2cc-169085d7ba6e,D,Write,2022-07-18 08:47:40.433967,2022-07-18 08:47:51.075435
2380ccef-5a5b-4825-944c-3d702222193c,D,Write,2022-07-18 08:22:24.483196,2022-07-18 08:22:26.676811
7f4ee1f4-d51c-4b0b-af38-8a600a3eae23,B,Write,2022-07-18 08:50:10.732789,2022-07-18 08:50:14.522223
1bcaeb8c-c9cb-457c-a8b5-95cdef4be435,E,Write,2022-07-18 09:17:36.119183,2022-07-18 09:17:37.050857
9be5ca22-5fca-4711-b662-dfbd78645d46,E,Write,2022-07-18 09:00:01.816120,2022-07-18 09:00:07.263162
a954858e-42b9-4d64-a918-ee49f9a07712,D,Write,2022-07-18 09:00:14.269984,2022-07-18 09:00:17.559916
7f307928-8a72-4059-a30e-9d8469688f66,B,Write,2022-07-18 09:01:47.782314,2022-07-18 09:01:52.213924
4e606005-b788-4fcb-b05f-02edba0d6a99,E,Write,2022-07-18 08:30:43.555545,2022-07-18 08:30:47.978666
51656e13-13e1-46e3-8fff-31a39db56240,B,Write,2022-07-18 09:09:59.547145,2022-07-18 09:10:00.607880
1455b12c-3d19-4272-bf61-87d63a6fc21d,D,Write,2022-07-18 08:19:25.485740,2022-07-18 08:19:32.759430
726c2396-d915-40e4-a215-bc850b90e6b3,E,Write,2022-07-18 09:15:18.936533,2022-07-18 09:15:27.624596
9667476c-a7b1-4750-bf87-8301c0130dc2,C,Write,2022-07-18 09:02:02.271542,2022-07-18 09:02:04.448992
80fb4bc7-ca32-466a-a398-f2efec937cfd,D,Write,2022-07-18 08:25:40.976115,2022-07-18 08:25:50.961361
b3ef7f43-c3c8-4194-91e2-06ad414b0810,E,Write,2022-07-18 08:49:01.965604,2022-07-18 08:49:06.068366
752a542f-0645-4b69-a42d-894cd1bc840c,D,Write,2022-07-18 08:27:26.410360,2022-07-18 08:27:28.872373
ef56544b-14c5-4604-a367-cbdde04374ed,C,Write,2022-07-18 09:08:06.323414,2022-07-18 09:08:06.755136
ae8de253-f141-4187-ad31-f2b97e238c66,B,Write,2022-07-18 08:42:17.416003,2022-07-18 08:42:18.358699
b53e8e6b-ce52-4bea-bef4-314bf1b39379,E,Write,2022-07-18 09:10:16.578278,2022-07-18 09:10:18.324691
a3cac92f-8a04-4336-8325-56e29aa443b8,C,Write,2022-07-18 08:28:51.178263,2022-07-18 08:28:56.635307
6d96ba70-bbc5-43ac-98c8-f9b4255197aa,B,Write,2022-07-18 08:45:22.142494,2022-07-18 08:45:39.977722
cee79b7d-b44f-4d0d-b9b8-927327a2146c,D,Write,2022-07-18 08:58:53.984091,2022-07-18 08:59:02.469496
ecef8410-8ee4-4983-baed-757f6ec814f4,B,Write,2022-07-18 08:49:20.265164,2022-07-18 08:49:22.184816
1c7ce1e7-b7cf-4c24-93e4-aefaa5d87f93,E,Write,2022-07-18 08:56:00.627332,2022-07-18 08:56:03.249473
d0c583ce-5e8b-4481-8871-823691e934df,E,Write,2022-07-18 08:33:01.652094,2022-07-18 08:33:08.107637
6dff63e6-b936-4d0f-9c4d-ccc88b7cde17,E,Write,2022-07-18 08:28:46.345073,2022-07-18 08:28:47.749479
fc742422-5f9d-492c-a6bf-9308e8b8c631,E,Write,2022-07-18 08:32:44.134622,2022-07-18 08:32:45.577920
b8812501-bc5c-4926-8e95-d78831a67cdb,A,Write,2022-07-18 08:37:37.498893,2022-07-18 08:37:41.907721
d1d236e9-14dc-4b62-95fc-9e5a764da5e9,A,Write,2022-07-18 08:45:50.034142,2022-07-18 08:45:52.671443
